"id","account","text","text2"
"FF","@DianoAriene","Ano ma say nyo mga pokpok nga basher ng ating Pres.Duterte ? 
Nahiya na sa inyo si Queen Elizabeth.","Ano ma say nyo mga p"
"1826","@Palepilsen3","Buti pa si queen elizabeth ll may sense sinasabi..samantalang mga artistang mga bagohan..kala mo naman may alam sa gnagawa ni duterte...","Buti pa si queen eli"
"2389","@raoult_didier","Si je suis amusé par la créativité des réseaux sociaux, notamment via des comptes parodiques et des détournements, je tiens à rappeler que je suis un homme poli : la vulgarité ne fait pas parmi de la panoplie de mes tweets.
Rendez-vous demain pour de nouvelles données épidémiques","Si je suis amusé par"
"3979","@HappeningNow__","Gold Coast Hospital Staff Roll In A Volleyball To Keep Tom Hanks Company In Quarantine: http://www.betootaadvocate.com/uncategorized/gold-coast-hospital-staff-roll-in-a-wilson-volleyball-to-keep-tom-hanks-company-in-quarantine …","Gold Coast Hospital "
"3979","@zaibatsu","Gold Coast Hospital Staff Roll In A Volleyball To Keep Tom Hanks Company In Quarantine #CoronavirusPandemic #TomHanks","Gold Coast Hospital "
"3979","@NeuroticCircus","Bad news - #Tom Hanks has #Coronavirus

Good #news : He also has a great sense of humour. Gold Coast #Hospital Staff Roll In A Volleyball To Keep Tom #Hanks Company In #Quarantine.

Bad news: The #volleyball was an #explosive. 

The end","Bad news - #Tom Hank"
"4438","@therealgoodgirl","Is this for real?","Is this for real?"
"2159","@ExSecular","Trupti Desai was caught buying liquor amidst lockdown","Trupti Desai was cau"
"2159","@JAYSHANKER","Trupti Desai arrested for buying liqour illegally during Lock down..","Trupti Desai arreste"
"1578","@NaijaEverything","BREAKING!! Funke Akindele commences her 14 days community service sentence","BREAKING!! Funke Aki"
"1578","@alison_ib","Funke Akindele (Jennifa) doing community service as punishment for breaking the coronavirus social gathering directive.","Funke Akindele (Jenn"
"3117","@pudhuvaikarthi","Italy has the most advanced Health Care Facilities but they failed to control Corona because they were taking it as a joke in initial days and today their President cried that we are short of space for burying dead bodies of corona affecties.

Pray for italy and for all humans!","Italy has the most a"
"3117","@Iam___Sana","Italy has the most advance health facilities but they failed to eradicate from this epidemic because they didn't take it serious at initial stage and their president cried that they don't have enough space for burying dead bodies of affecties..","Italy has the most a"
"3117","@hamnaqureshi5","Just look at the crying president of Italy 

Italy has the most advance Health Care Facilities but they failed to control Corona bcz they were taking it as joke in initial days and todays their president cried that we are short of space for burying dead bodies of corona affecties","Just look at the cry"
"3117","@stayinurlimits","Italy has the most advance Health Care Facilities but they failed to control Corona bcz they were taking it as joke in initial days and todays their president cried that we are short of space for burying dead bodies of corona affecties...!!
#stayhomestaysafe #CoronaVirusPakistan","Italy has the most a"
"1322","@resistPOTUSnow",".@realDonaldTrump
Trump’s handling of this whole pandemic has been terrible! As President, ALL responsibility becomes yours during a crisis like this, whether or not you’re entirely to blame. Obama/Biden would never let thousands of Americans die from a pandemic while in office.",".@realDonaldTrump
Tr"
"4437","@danielfree1305","伊朗人信仰坚定不怕死！
八位高官医院探望感染了新冠的副总统，口罩也没戴。
找死的节奏啊 。","伊朗人信仰坚定不怕死！
八位高官医院探望"
"4437","@guzhoujin","伊朗官员集体探望感染病毒的副总统。他们不戴口罩可能是表忠心，同时也是想为美国节省军费、解放伊朗人民做贡献！ https://twitter.com/guzhoujin/status/1233357377442762752 …","伊朗官员集体探望感染病毒的副总统。他们不"
"1925","@EmeraldRobinson","Italy: hydroxychloroquine works!

France: hydroxychloroquine works!

Spain: hydroxychloroquine works!

Brazil: hydroxychloroquine works!

Dr. Fauci: there's no strong evidence it works.

No strong evidence? There's the evidence of the entire world's medical community.","Italy: hydroxychloro"
"2126","@RexChapman","Sandra the orangutang started washing her hands because she saw all the zookeepers doing it repeatedly during the COVID-19 crisis.

Wash your hands. 
Be more like Sandra.🌎❤️🧼🌎","Sandra the orangutan"
"3530","@DWZ19_38_1","ช่วงนี้คนเอาแอลกอฮอล์มาพ่นฆ่าเชื้อ โควิด 2019 กันเยอะ แต่จุดที่ไม่ควรใช้ คือ ในรถยนต์ และ ในครัวเพราะอาจจะเป็นแบบนี้ ระวังกันหน่อย

 #ไวรัสโควิด19","ช่วงนี้คนเอาแอลกอฮอล"
"4654","@meong699","Mereka takut terkena corono, mereka ikut shalat meskipun tidak tahu caraya. Semoga jadi asbab hidayah ya ALLAH","Mereka takut terkena"
"935","@SulaxanRaja","மனிதர்களை விட இயற்கை தன்னைத்தானே 
சீக்கிரமாக மறுசீரமைப்பு செய்துகொள்கிறது.
#lka #SriLanka","மனிதர்களை விட இயற்கை"
"935","@jehan_hameed","Blessing in disguise? Half of the world population is under some form of lockdown due to #COVID19. Environmental pollution is reduced up to 30%.Mobility is reduced up to 90%. Look at the atmosphere, look at the sky! Colombo #SriLanka 🇱🇰❤️","Blessing in disguise"
"3151","@see_leong","终于来了
中国医生团队特地飞来大马协助抗疫，此心此情感动天地。感谢中国 🇨🇳","终于来了
中国医生团队特地飞来大马协助抗"
"4162","@VL0ko","I realize I tweeted something earlier that I didn’t research or thought would go anywhere and at a desperate attempt to help people who can’t afford the medical bills associated with testing for the virus, tweeted out misinformation","I realize I tweeted "
"4440","@zijunge","蒙古国给中国捐赠的3万只羊，已经往口岸过来，到了二连浩特口岸外。 值一个亿了。","蒙古国给中国捐赠的3万只羊，已经往口岸过"
"4440","@wuwenhang","【转个新闻】蒙古国给中国捐赠的3万只羊，已经往口岸过来，到了二连浩特口岸外。","【转个新闻】蒙古国给中国捐赠的3万只羊，"
"4440","@YH2005623","蒙古总统访华捐给中国的3万只羊。因蒙古没有大型卫生设备厂家，就用这种实物捐赠，3万只绵羊过境二连口岸时的情景。场面壮观，徒步过境，免签","蒙古总统访华捐给中国的3万只羊。因蒙古没"
"4354","@hghfight","#coronarvirusitalia #coronavirus A man with a fever tries to force the blockade post of the Chinese authorities","#coronarvirusitalia "
"2900","@alfonslopeztena","Coronavirus’ silent spreaders — Iceland, able to test its entire population, found half of those who tested positive had no symptoms
#TestTestTest","Coronavirus’ silent "
"2900","@Cyrille078","L’#Islande a testé toute sa population. La moitié des personnes porteuses du virus n’avaient aucun symptôme. 

#coronavirus #COVIDー19","L’#Islande a testé t"
"2900","@ajplusfrancais","L'Islande a pu tester ses 364 260 habitant·e·s au #COVID19 et a découvert qu'1/3 des personnes testées positives étaient asymptomatiques et pourtant contagieuses.","L'Islande a pu teste"
"3795","@Ramzankhadimri1","کا ٹیسٹ مفت کی بجاے 9700 روپےکا ہو رہا ہے تو آئیندہ اپنی خیرات صدقات اور کھالیں سوچ سمجھ کے دیجیے گا

#ڈیم_فنڈکروناکےعلاج_کیلئے","کا ٹیسٹ مفت کی بجاے "
"3795","@DilshadFeroz","اس مشکل وقت میں اگر شوکت خانم کرونا کا ٹیسٹ فری نہیں کرتا تو عوام کو چاہیے کہ وہ اپنے صدقات اس ہسپتال کو دینا بند کر دے","اس مشکل وقت میں اگر "
"3795","@RajaobaidAhmad1","ذھنی غلام بات شوکت خانم کی اور کارڈ کی ہو رہی تھی۔۔۔۔۔۔شوکت خانم میں کرونا کا ٹیسٹ 8 ہزار میں ہو رہا ہے۔۔۔اور کارڈ بھی نہیں چل رہا کہیں بھی۔۔۔باقی لگے رہو۔۔۔۔ذھنی غلامو","ذھنی غلام بات شوکت خ"
"60","@amit70001","*WORLD HEALTH ORGANISATION PROTOCOL&PROCEDURE OF LOCKDOWN PERIODS FOR CONTROLLING  ON MOST DANGEROUS VIRUS*

STEP 1 - 1 DAY.
STEP 2- 21 DAYS.
AFTER 5 DAYS.
STEP 3- 28 DAYS.
AFTER 5 DAYS.
STEP 4 - 15 DAYS.

LOCKDOWN.

May 25 - June 10 - 15 days (FINAL LOCKDOWN).

#Who_Is_RealGod","*WORLD HEALTH ORGANI"
"60","@OnlineVijay_fan","*WORLD HEALTH ORGANISATION PROTOCOL&PROCEDURE OF LOCKDOWN PERIODS FOR CONTROLLING  ON MOST DANGEROUS VIRUS*

STEP 1 - 1 DAY.
STEP 2- 21 DAYS.
AFTER 5 DAYS.
STEP 3- 28 DAYS.
AFTER 5 DAYS.
STEP 4 - 15 DAYS.

Idhu unmaiyaa?
#COVID19 #CoronavirusPandemic #Master #COVID19Pandemic","*WORLD HEALTH ORGANI"
"139","@KimWolfRider1","แจ้งไลน์คนอื่นไห้หน่อย  
ด่านที่ผ่านตรวจไม่มีแมชปิดปาก ปรับ 200 ช่วยใส่หน้ากากออกจากบ้าน
ถ้าเจอด่านตรวจให้ใส่ผ้าปิดปากจมูกด้วยนะครับ
เจอไม่ใส่จับจริงๆนะครับทุกคนที่อยู่ในรถต้องใส่ครับ
ทุกจังหวัดทั่วประเทศนะครับ","แจ้งไลน์คนอื่นไห้หน่"
"4355","@hghfight","#coronarvirusitalia #coronavirus A man with a fever tries to force the blockade post of the Chinese authorities","#coronarvirusitalia "
"2759","@KimWolfRider1","แจ้งไลน์คนอื่นไห้หน่อย  
ด่านที่ผ่านตรวจไม่มีแมชปิดปาก ปรับ 200 ช่วยใส่หน้ากากออกจากบ้าน
ถ้าเจอด่านตรวจให้ใส่ผ้าปิดปากจมูกด้วยนะครับ
เจอไม่ใส่จับจริงๆนะครับทุกคนที่อยู่ในรถต้องใส่ครับ
ทุกจังหวัดทั่วประเทศนะครับ","แจ้งไลน์คนอื่นไห้หน่"
"3917","@EmmanuelMecron","L'intégralité des cours manqués à cause du Covid-19 seront donc rattrapés pendant les vacances d'été.","L'intégralité des co"
"1828","@Welikumbura","Since when did lotus bud become the logo of SATHOSA?

#lka #SriLanka #Politics","Since when did lotus"
"1828","@chamithwije","Shame @GotabayaR @PresRajapaksa to play politics at this hour.","Shame @GotabayaR @Pr"
"1672","@AdefilaDarey","Wonder shall never ....FGN lied that they shared 2trillion  to the citizen of the country that we haven't seen anybody that receive it ..now NCDC..said they have spent  1billion on sms..this country is messed  up..#yahooyahoo @realFFK @segalink @ShehuSani @NCDCgov","Wonder shall never ."
"4594","@hghfight","#coronarvirusitalia #coronavirus A man with a fever tries to force the blockade post of the Chinese authorities","#coronarvirusitalia "
"1595","@sheilagrewal","What is going on in JB CIQ????? 😡😡😠😠 @MuhyiddinYassin @IsmailSabri60 @DrAdhamBaba @PDRMsia","What is going on in "
"1762","@ReportHinduphob","Kanipakam Ganesh temple, Chittoor district, Andhra Pradesh, is being used as a quarentaine center by the Sickular AP CM Jagan!!

Y not Mosques n Churches r taken for the same purpose?!

People wearing slippers inside our temple @noconversion @ajeetbharti #SaveTemples @RMCpost","Kanipakam Ganesh tem"
"1762","@spsridevi714gm1","😡😡ఒక చర్చి ,మసీదు ,ఇస్లాం యూనివర్సిటీ,ఇతరత్రా ఎన్నో ఉన్నా, తిరుపతి లో వీటిలో ఏ ఒక్కటీ ఐసోలేషన్ వార్డులుగా చేయలేదు 
కానీ మహోన్నతమైన కాణిపాకం వినాయక స్వామి దేవాలయాన్ని చేసింది ఈ ప్రభుత్వం అది కూడా వాళ్ళ మత మీటింగ్ కోసం డిల్లీ పోయొచ్చిన వాళ్ళ కోసం .
చూడండి వాళ్ళు గుడిలోకి","😡😡ఒక చర్చి ,మసీదు ,ఇ"
"2495","@Jaggi61889351","*information*

* All honorable members of the group are informed that right now any post related to Corona virus has been declared a punishable offense by the Central Government, only a government agency can post on Corona. In case of wrong post or message, action will be taken","*information*

* All"
"2495","@png60","*information*

All honorable members of the group are informed that right now any post related to Corona virus has been declared a punishable offense by the Central Government, only a government agency can post on Corona.","*information*

All h"
"1825","@irajonline","මේකට මොකද කියන්නේ ? 🤔 දැන් තවත් ප්‍රශ්න තිබේද ? "" එක රටක් එක නීතියක්"" 🤨https://www.emirates247.com/news/emirates/sharjah-ruler-directs-not-to-bury-any-corona-victims-in-al-saja-a-2020-04-04-1.693866 … #lka #SriLanka #Covid19","මේකට මොකද කියන්නේ ? "
"4103","@davidabordo","sm aura
moa
sm megamall
Evia
glorietta
sofitel
shang mkati
solaire hotel
Belmont hotel
dito nag ikot yung mga naging positve ng NCOVid19.Very confidential di pa nilalabas ng DOH as of today they have discovered 11positive individuals at dito sila nag ikot.ingatkauguys🙏🏼","sm aura
moa
sm megam"
"4103","@sophieyahh11","got this info from one of my colleagues another group who is now tracing the NCOVID with DOH 

please avoid the malls
sm aura
sm moa
sm megamall
Evia
glorietta
sofitel
shang mkati
solaire hotel
manila hotel
Belmont hotel

dito nag ikot yung mga naging positve ng NCOVid 19.","got this info from o"
"3416","@AdersMeyer","@KTNNewsKE @ahmednasirlaw @K24Tv @citizentvkenya @ntvkenya 
Ugandan government  through its leadership issue  a letter to all landlords not to charge rent for three months .
What are we waiting for
Remember uganda has not reported any covid 19 yet","@KTNNewsKE @ahmednas"
"3416","@BikoSpeaks","World,

Ugandan President, Yoweri Kaguta Museveni has directed all landlords in Uganda not to collect rent from their tenants,

 For three months due to #FightCOVID19 ,

OR face 7 years in jail, repossession of their houses by the government or both!

#uhurumustgo","World,

Ugandan Pres"
"3416","@DamiTheOG_","Landlords in Uganda 🇺🇬 have been told not to collect rent money from tenants for 90days 

My country only suspended religious gatherings 

😂😂😂","Landlords in Uganda "
"3717","@bloch_stephane","#Décret un peu passé inaperçu du 13 mars qui, sauf erreur, prépare un #confinement sous bonne garde....(liste des organismes susceptibles d’accueillir des militaires en affectation temporaire)","#Décret un peu passé"
"2938","@lexsima","##กูจาเอาอาไรแดก

ประกาศ พรก.ฉุกเฉิน เริ่มใช้ 26มีนา 63
อย่าตื่นตระหนก ขอให้ปฏิบัติตามแนวทางดังนี้
- ห้ามออกจากบ้าน 20:00 - 05:00 น.
- ช่วงเวลา 05:00 - 20:00 น.ห้ามเดินทางข้ามจังหวัด ยกเว้นบุคลากรทางการแพทย์
ฝ่าฝืนมีโทษจำคุกไม่เกิน 2 ปี ปรับไม่เกิน 40,000 บาท หรือทั้งจำทั้งปรับ","##กูจาเอาอาไรแดก

ปร"
"2938","@WaL7NBS7tT96YAd","ประกาศ พรก.ฉุกเฉิน
อย่าตื่นตระหนก ขอให้ปฏิบัติตามแนวทางดังนี้
ห้ามออกจากบ้าน 20:00 - 05:00 น.
ช่วงเวลา 05:00 - 20:00 น.
ห้ามเดินทางข้ามจังหวัด ยกเว้นบุคลากรทางการแพทย์
พนักงานที่ต้องเดินทาง ให้พกบัตรพนักงาน เพื่อแสดงแก่เจ้าหน้าที่รัฐ กรณีเรียกตรวจ เพราะบัตรพนักงาน","ประกาศ พรก.ฉุกเฉิน
อ"
"4491","@owaiskhanzada10","All international arrivals flights are cancelled at Karachi airport due Corona virus","All international ar"
"3534","@kijafa_morgan","All schools in Canada are closed for the rest of the school year, each family will get $950 every two weeks for the next 15 weeks, banks were notify to suspend mortgage payments for at least 6 months, student loans deferred and so much more way to go Canada!!!","All schools in Canad"
"150","@pkshukl","पत्ता गोभी हो सके तो मत खाना ठीक सुना आपने । WHO की रिपोर्ट के अनुसार पत्ता गोभी की परत में Corona Virus सबसे ज़्यादा समय ठहर रहा है ।जहाँ बाक़ी जगह यह virus 9-12 घंटे ठहर रहा है वहीं पत्ता गोभी में यह virus 30 घंटे से अधिक ठहर रहा है ।सभी शहर के लोगों से निवेदन है","पत्ता गोभी हो सके तो"
"150","@maakaachar","पत्ता गोभी 

हो सके तो मत खाना

ठीक सुना आपने । WHO की रिपोर्ट के अनुसार पत्ता गोभी की परत में Corona Virus सबसे ज़्यादा समय ठहर रहा है ।

जहाँ बाक़ी जगह यह virus 9-12 घंटे ठहर रहा है वहीं पत्ता गोभी में यह virus 30 घंटे से अधिक ठहर रहा है ।","पत्ता गोभी 

हो सके "
"4220","@issca131","The world's first new coronavirus vaccine was injected into the left arm of inventor Chen Wei.
 Dare to be the first in the world, seven Communist Party members of the expert group were vaccinated against the new coronavirus!","The world's first ne"
"4220","@MYuesong","The first human injection with the coronavirus vaccine, and the tested people is the inventor who is the PLA major general in China and was in charge of Wuhan p4 lab months ago","The first human inje"
"4220","@mkhochman","A #Covid_19 VACCINE! (MADE IN #China) 
PLA medical scientists have developed the world's first vaccine for #COVID19
Lead by famed virologist Dr. Chen Wei, 7 of the team's members have inoculated themselves with the vaccine. 
#Coronavirus
#CoronaVirusSeattle
#COVID19italia","A #Covid_19 VACCINE!"
"4220","@doudoulong5181","#Breaking #BreakingNews The world's first COVID19 vaccine has been developed and used in human clinical tests in Wuhan, China. #Coronavirus #Vaccine #Wuhan #China #COVID19 #COVIDー19 #COVID2019 #COVID #Virus","#Breaking #BreakingN"
"168","@brianjdzaj","Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists.
Right now  Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!!","Great news! Carona v"
"168","@gp07681769","Forwarded as received
👇
Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists.
Right now  Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!!","Forwarded as receive"
"1740","@NCDC_NIGERIA","(無內容)","(無內容)"
"207","@MrOMFGWTAF","86 people quarantined for corona in a Valencia brothel. A fortnight. Explain that shit to your missus or your work.","86 people quarantine"
"207","@Halley1Jason","86 people quarantined for corona in a Valencia brothel. A fortnight. Explain that shit to your missus or your work.","86 people quarantine"
"207","@harper_peter","86 people quarantined for corona in a Valencia brothel. A fortnight. Explain that shit to your missus or your work.","86 people quarantine"
"207","@AndyFarrell96","🧐🧐🧐 bit of explaining going on here","🧐🧐🧐 bit of explainin"
"4597","@inteldotwav","Data from http://windy.com  shows a massive release of sulfur dioxide gas from the outskirts of Wuhan, commonly associated with the burning of organic matters. Levels are elevated, even compared with the rest of China.","Data from http://win"
"4597","@hkdnow1","Weather report indicates massive sulphur dioxide was released from #WuHan. Only cremating thousands of bodies can produce this much amount of sulphur dioxide. The death rate of #coronavirus can be a lot higher than what has been releasing in China.
#coronavirusoutbreak
#CCP","Weather report indic"
"4597","@livecrisisnews","“Sulfur dioxide gas in Wuhan, commonly associated with the burning of organic matters”. What are they burning? #coronavirus #coronavirusoutbreak #wuhan

source: http://windy.com","“Sulfur dioxide gas "
"4597","@ClimateRealists","Does this satellite image show the scale of China's coronavirus cremations? Sulphur dioxide emissions which are produced when bodies are burned reach alarming levels in Wuhan. Satellite maps showed high SO2 levels in quarantined Wuhan and Chongqing","Does this satellite "
"4597","@originalbrandt","No doubt. This is the sulphur dioxide plume from over wuhan. Its caused by the burning of flesh.","No doubt. This is th"
"4567","@SHIVAMR19706234","बड़हलगंज में कोरोना   वायरस से एक आदमी का हालत गंभीr
 बना हुआ है हालत बिगड़ने पर उसे नजदीकी अस्पताल में भर्ती
 कराया गया है इलाज के दौरान  पता चला है की यह वायरस
 चिकन खाने से उसके अंदर आया है आप लोगों से हाथ
 जोड़कर निवेदन है सतर्क रहे ।","बड़हलगंज में कोरोना "
"4353","@iris_78y","#WuhanCoronavius #WuhanChina #武汉 #武汉肺炎 #武汉封城 武汉社区组织团购的爱心菜，结果造成了大量的人员聚集。武汉的疫情何时才能好转？说好的配送到小区楼下，实际上根本没有","#WuhanCoronavius #Wu"
"4353","@lanews2020","Waiting in line to receive death certificate for their family members. 

Attente en ligne pour recevoir le #certificat_de_décès pour des membres de leurs familles.

Source: Douyin 

#coronavirus #virus #Wuhan #chine","Waiting in line to r"
"4353","@Kitty_yanli","#PLABiologicalWeapon 
武汉桥口区五彩社区办公室门前,两条人流的长龙缓慢蠕动着在等待领取亲人的死亡证明!一个社区就死了那么多人!全武汉到底死了多少人?
武汉的樱花
不知人间悲喜
又如期绽放
开得如火如荼
让人看一眼就想落泪
这些死去的亡魂
一纸证明永远地结束了一切
再也看不到春天
等不到真相了.","#PLABiologicalWeapon"
"4353","@2mmbPkM00IJwIUV","微友：
武汉桥口区五彩社区办公室门前，两条人排的长龙缓慢的蠕动着，人们在等待领取亲人的死亡证明。一纸证明，永远地结束了一切，无论死去的是哪个年龄段，2020的樱花和关于未来文明春天的盛典，再也等不到了
一个社区就有那么多人排队，到底死了多少人？还有眼泪吗？还能痛苦吗？","微友：
武汉桥口区五彩社区办公室门前，两"
"4353","@naochashu","惨不忍睹，命如蝼蚁！","惨不忍睹，命如蝼蚁！"
"4353","@sadir_Palwan","People #Wuhan staying in long queue to get death certificate. 

This is just one of the many communities of Wuhan.

#CoronaOutbreak is much worse than #China portraits.

#COVID19 #Covid_19","People #Wuhan stayin"
"1231","@EAukot","This is an African being violated, tortured and humiliated in China. What should we do with the Chinese on our lands?","This is an African b"
"2437","@Bravo_19PAS","Dampak  lockdown . Warga Inggris Kelaparan .. Terjadi kerusuhan. Warga Ngamuk toko2 Dijarah n mulai rusuh, Akibat Lockdown, Rakyat mulai Kelaparan &  bertindak secara brutal, penjarahan dimana mana, demi mengisi perut lapar","Dampak  lockdown . W"
"2257","@maqarphys","Ismail Mohamed Abdulwahab, become the youngest victim of Coronavirus in UK, Ismail who was passed away at the tender age of 13. was describe as gentle & kind.
RIJF","Ismail Mohamed Abdul"
"3981","@baobaobilly","堆满尸体的意大利的医院","堆满尸体的意大利的医院"
"4609","@freethinkbird","The fallen put outside ..we need the truth! #truth #CoronavirusOutbreak #corruption","The fallen put outsi"
"4609","@David_vanH","#CoronaVirus Des sacs de morts jonchent le bord des rues ! [video]

Cela confirme les indications que les crématoriums sont débordés, et les calculs qui indiquent que la Chine cache le nombre de morts en ne comptant que ceux à l’hôpital...

#COVIDー19","#CoronaVirus Des sac"
"4609","@lesmanchettes","C'est assez rassurant,  une rue de cadavres en chine! #coronavirus","C'est assez rassuran"
"4609","@wuwenhang","新冠病毒期间，深圳施行出入证制度，一夜之间很多人睡在大街上！暴政猛於虎！","新冠病毒期间，深圳施行出入证制度，一夜之"
"1396","@BohOusmane","En #Chine, plus précisément à Guangzhou, des chinois tabassent des noirs africains les accusant d'être les responsables d'un présumé retour du coronavirus (sic!).","En #Chine, plus préc"
"1396","@o_abuga","A Kenyan couple being whipped by Chinese couple in Wuhan. The likes of Murkomen $ Rasanga, who is burying people at night in Siaya County should diverge their energy towards calling out the heinous acts. We're not a colony to China. Flush them out. #LordsOfBetrayal #SiayaBurial","A Kenyan couple bein"
"1396","@TheKenyanPost","Watch Kenyan couple exchanging blows with a Chinese couple in the streets of Wuhan – They refused to be treated like trash (WATCH)","Watch Kenyan couple "
"1396","@Zvomuya","Here we go💥 Kenyan couple in a physical fight with a Chinese couple in the streets of Wuhan. @ChineseEmbSA @Chinamission2un @ChineseEmbKenya","Here we go💥 Kenyan c"
"3058","@RanaReh18086299","In #Turkey, people have started to leave food packets on the road for the poor and the needy who cannot earn due to #COVIDー19 lockdown. 
Love you #Turks for representing us.","In #Turkey, people h"
"3058","@JerioVinnie","In #Turkey, people have started to leave food packets on the road for the poor and the needy who cannot earn due to #COVIDー19 lockdown. 
Love you #Turks for representing us.  #coronavirus #COVID19 #Italy #MulikaCorona #coronaviruskenya","In #Turkey, people h"
"3058","@Alhamdhulillaah","In Turkey, people have been leaving food packets on the road for the poor and needy who cannot earn due to the #COVID19 lockdown.
May Allah bless the people of 

Turkey 🇹🇷 for their generosity.","In Turkey, people ha"
"3058","@RamonFuller11","#CoronavirusLockdownIn Turkey, people started leaving food packages on the road for the poor and those who couldn't make money because of #COVID19 #CoronavirusLockdown #coronavirus. 🇹🇷 ❤️🙏🏻💪🏻","#CoronavirusLockdown"
"3836","@MsMoon53","The #MSM hysterical overreaction is bringing our country to its knees. Caution is one thing, but the near complete shut-down of schools, businesses, travel, stock-market, etc, is beyond belief - Vegas is even shutting down! Never in my lifetime. 

#coronapocolypse
#Unimaginable","The #MSM hysterical "
"196","@MerdekaSuara","Petugas rumah mayat tidak sengaja dibakar rakan sekerja — Suara Merdeka","Petugas rumah mayat "
"1240","@RobertAlai","Guinea has allegedly arrested Chinese nationals in the country and has asked Beijing to assure the safe return of her citizens from China before they are released. #ChineseInKenyaMustGo","Guinea has allegedly"
"2261","@Khaniqbal1Iqbal","God has every right to be angry with humanity... Last gay congregation in Italy before Coronavirus struck 😰😰","God has every right "
"2261","@Andrew_Petter","。
🥳🎉  CARNAVAL na BAHIA-奎姆？  🎉🥳
。","。
🥳🎉  CARNAVAL na BA"
"1314","@dino_melaye","FG do something b4 something do us. Nigerians are staving...","FG do something b4 s"
"1314","@AbelStarks","FG please do something. This is no longer #Coronavirus this is #Hunger Virus😲🇳🇬","FG please do somethi"
"3413","@urbashah","*As received, please *

Bank of Punjab Chandni Chowk all employees tested positive

First two employees were sick, when others were tested all the office has tested positive","*As received, please"
"3413","@ia_rajpoot","Coronavirus invades Rawalpindi

The entire staff of Bank of Punjab (BoP) Chandni Chowk including Abid and Zubair have been tested positive of Covid19
@DCRawalpindi @zfrmrza @UsmanAKBuzdar @WHO @PSHDept @GOPunjabPK 
Courtesy: @NaumanAsghar18","Coronavirus invades "
